method,class_id,prompt,seed,ratio,beta,image_path,time_sec,peak_mem_gb
tome,263,a photo of a Pembroke,0,0.5,0.0,generated/tome/class_0263_seed0_a_photo_of_a_Pembroke.png,3.0148,4.8920
tome,263,a photo of a Pembroke,1,0.5,0.0,generated/tome/class_0263_seed1_a_photo_of_a_Pembroke.png,3.0180,4.8920
tome,264,a photo of a Cardigan,0,0.5,0.0,generated/tome/class_0264_seed0_a_photo_of_a_Cardigan.png,3.0154,4.8920
tome,264,a photo of a Cardigan,1,0.5,0.0,generated/tome/class_0264_seed1_a_photo_of_a_Cardigan.png,3.0220,4.8920
tome,265,a photo of a toy poodle,0,0.5,0.0,generated/tome/class_0265_seed0_a_photo_of_a_toy_poodle.png,3.0451,4.8920
tome,265,a photo of a toy poodle,1,0.5,0.0,generated/tome/class_0265_seed1_a_photo_of_a_toy_poodle.png,3.0228,4.8920
tome,266,a photo of a miniature poodle,0,0.5,0.0,generated/tome/class_0266_seed0_a_photo_of_a_miniature_poodle.png,3.0214,4.8920
tome,266,a photo of a miniature poodle,1,0.5,0.0,generated/tome/class_0266_seed1_a_photo_of_a_miniature_poodle.png,3.0153,4.8920
tome,267,a photo of a standard poodle,0,0.5,0.0,generated/tome/class_0267_seed0_a_photo_of_a_standard_poodle.png,3.0183,4.8920
tome,267,a photo of a standard poodle,1,0.5,0.0,generated/tome/class_0267_seed1_a_photo_of_a_standard_poodle.png,3.0210,4.8920
tome,268,a photo of a Mexican hairless,0,0.5,0.0,generated/tome/class_0268_seed0_a_photo_of_a_Mexican_hairless.png,3.0143,4.8920
tome,268,a photo of a Mexican hairless,1,0.5,0.0,generated/tome/class_0268_seed1_a_photo_of_a_Mexican_hairless.png,3.0231,4.8920
tome,269,a photo of a timber wolf,0,0.5,0.0,generated/tome/class_0269_seed0_a_photo_of_a_timber_wolf.png,3.0215,4.8920
tome,269,a photo of a timber wolf,1,0.5,0.0,generated/tome/class_0269_seed1_a_photo_of_a_timber_wolf.png,3.0175,4.8920
tome,270,a photo of a white wolf,0,0.5,0.0,generated/tome/class_0270_seed0_a_photo_of_a_white_wolf.png,3.0227,4.8920
tome,270,a photo of a white wolf,1,0.5,0.0,generated/tome/class_0270_seed1_a_photo_of_a_white_wolf.png,3.0209,4.8920
tome,271,a photo of a red wolf,0,0.5,0.0,generated/tome/class_0271_seed0_a_photo_of_a_red_wolf.png,3.0176,4.8920
tome,271,a photo of a red wolf,1,0.5,0.0,generated/tome/class_0271_seed1_a_photo_of_a_red_wolf.png,3.0184,4.8920
tome,272,a photo of a coyote,0,0.5,0.0,generated/tome/class_0272_seed0_a_photo_of_a_coyote.png,3.0225,4.8920
tome,272,a photo of a coyote,1,0.5,0.0,generated/tome/class_0272_seed1_a_photo_of_a_coyote.png,3.0138,4.8920
tome,273,a photo of a dingo,0,0.5,0.0,generated/tome/class_0273_seed0_a_photo_of_a_dingo.png,3.0178,4.8920
tome,273,a photo of a dingo,1,0.5,0.0,generated/tome/class_0273_seed1_a_photo_of_a_dingo.png,3.0221,4.8920
tome,274,a photo of a dhole,0,0.5,0.0,generated/tome/class_0274_seed0_a_photo_of_a_dhole.png,3.0172,4.8920
tome,274,a photo of a dhole,1,0.5,0.0,generated/tome/class_0274_seed1_a_photo_of_a_dhole.png,3.0154,4.8920
tome,275,a photo of a African hunting dog,0,0.5,0.0,generated/tome/class_0275_seed0_a_photo_of_a_African_hunting_dog.png,3.0120,4.8920
tome,275,a photo of a African hunting dog,1,0.5,0.0,generated/tome/class_0275_seed1_a_photo_of_a_African_hunting_dog.png,3.0138,4.8920
tome,276,a photo of a hyena,0,0.5,0.0,generated/tome/class_0276_seed0_a_photo_of_a_hyena.png,3.0172,4.8920
tome,276,a photo of a hyena,1,0.5,0.0,generated/tome/class_0276_seed1_a_photo_of_a_hyena.png,3.0153,4.8920
tome,277,a photo of a red fox,0,0.5,0.0,generated/tome/class_0277_seed0_a_photo_of_a_red_fox.png,3.0177,4.8920
tome,277,a photo of a red fox,1,0.5,0.0,generated/tome/class_0277_seed1_a_photo_of_a_red_fox.png,3.0165,4.8920
tome,278,a photo of a kit fox,0,0.5,0.0,generated/tome/class_0278_seed0_a_photo_of_a_kit_fox.png,3.0388,4.8920
tome,278,a photo of a kit fox,1,0.5,0.0,generated/tome/class_0278_seed1_a_photo_of_a_kit_fox.png,3.0511,4.8920
tome,279,a photo of a Arctic fox,0,0.5,0.0,generated/tome/class_0279_seed0_a_photo_of_a_Arctic_fox.png,3.0361,4.8920
tome,279,a photo of a Arctic fox,1,0.5,0.0,generated/tome/class_0279_seed1_a_photo_of_a_Arctic_fox.png,3.0188,4.8920
tome,280,a photo of a grey fox,0,0.5,0.0,generated/tome/class_0280_seed0_a_photo_of_a_grey_fox.png,3.0136,4.8920
tome,280,a photo of a grey fox,1,0.5,0.0,generated/tome/class_0280_seed1_a_photo_of_a_grey_fox.png,3.0425,4.8920
tome,281,a photo of a tabby,0,0.5,0.0,generated/tome/class_0281_seed0_a_photo_of_a_tabby.png,3.0166,4.8920
tome,281,a photo of a tabby,1,0.5,0.0,generated/tome/class_0281_seed1_a_photo_of_a_tabby.png,3.0175,4.8920
tome,282,a photo of a tiger cat,0,0.5,0.0,generated/tome/class_0282_seed0_a_photo_of_a_tiger_cat.png,3.0348,4.8920
tome,282,a photo of a tiger cat,1,0.5,0.0,generated/tome/class_0282_seed1_a_photo_of_a_tiger_cat.png,3.0182,4.8920
tome,283,a photo of a Persian cat,0,0.5,0.0,generated/tome/class_0283_seed0_a_photo_of_a_Persian_cat.png,3.0150,4.8920
tome,283,a photo of a Persian cat,1,0.5,0.0,generated/tome/class_0283_seed1_a_photo_of_a_Persian_cat.png,3.0185,4.8920
tome,284,a photo of a Siamese cat,0,0.5,0.0,generated/tome/class_0284_seed0_a_photo_of_a_Siamese_cat.png,3.0163,4.8920
tome,284,a photo of a Siamese cat,1,0.5,0.0,generated/tome/class_0284_seed1_a_photo_of_a_Siamese_cat.png,3.0130,4.8920
tome,285,a photo of a Egyptian cat,0,0.5,0.0,generated/tome/class_0285_seed0_a_photo_of_a_Egyptian_cat.png,3.0194,4.8920
tome,285,a photo of a Egyptian cat,1,0.5,0.0,generated/tome/class_0285_seed1_a_photo_of_a_Egyptian_cat.png,3.0183,4.8920
tome,286,a photo of a cougar,0,0.5,0.0,generated/tome/class_0286_seed0_a_photo_of_a_cougar.png,3.0147,4.8920
tome,286,a photo of a cougar,1,0.5,0.0,generated/tome/class_0286_seed1_a_photo_of_a_cougar.png,3.0200,4.8920
tome,287,a photo of a lynx,0,0.5,0.0,generated/tome/class_0287_seed0_a_photo_of_a_lynx.png,3.0487,4.8920
tome,287,a photo of a lynx,1,0.5,0.0,generated/tome/class_0287_seed1_a_photo_of_a_lynx.png,3.0640,4.8920
tome,288,a photo of a leopard,0,0.5,0.0,generated/tome/class_0288_seed0_a_photo_of_a_leopard.png,3.0713,4.8920
tome,288,a photo of a leopard,1,0.5,0.0,generated/tome/class_0288_seed1_a_photo_of_a_leopard.png,3.0733,4.8920
tome,289,a photo of a snow leopard,0,0.5,0.0,generated/tome/class_0289_seed0_a_photo_of_a_snow_leopard.png,3.0639,4.8920
tome,289,a photo of a snow leopard,1,0.5,0.0,generated/tome/class_0289_seed1_a_photo_of_a_snow_leopard.png,3.0368,4.8920
tome,290,a photo of a jaguar,0,0.5,0.0,generated/tome/class_0290_seed0_a_photo_of_a_jaguar.png,3.0192,4.8920
tome,290,a photo of a jaguar,1,0.5,0.0,generated/tome/class_0290_seed1_a_photo_of_a_jaguar.png,3.0171,4.8920
tome,291,a photo of a lion,0,0.5,0.0,generated/tome/class_0291_seed0_a_photo_of_a_lion.png,3.0177,4.8920
tome,291,a photo of a lion,1,0.5,0.0,generated/tome/class_0291_seed1_a_photo_of_a_lion.png,3.0190,4.8920
tome,292,a photo of a tiger,0,0.5,0.0,generated/tome/class_0292_seed0_a_photo_of_a_tiger.png,3.0151,4.8920
tome,292,a photo of a tiger,1,0.5,0.0,generated/tome/class_0292_seed1_a_photo_of_a_tiger.png,3.0172,4.8920
tome,293,a photo of a cheetah,0,0.5,0.0,generated/tome/class_0293_seed0_a_photo_of_a_cheetah.png,3.0146,4.8920
tome,293,a photo of a cheetah,1,0.5,0.0,generated/tome/class_0293_seed1_a_photo_of_a_cheetah.png,3.0122,4.8920
tome,294,a photo of a brown bear,0,0.5,0.0,generated/tome/class_0294_seed0_a_photo_of_a_brown_bear.png,3.0201,4.8920
tome,294,a photo of a brown bear,1,0.5,0.0,generated/tome/class_0294_seed1_a_photo_of_a_brown_bear.png,3.0174,4.8920
tome,295,a photo of a American black bear,0,0.5,0.0,generated/tome/class_0295_seed0_a_photo_of_a_American_black_bear.png,3.0137,4.8920
tome,295,a photo of a American black bear,1,0.5,0.0,generated/tome/class_0295_seed1_a_photo_of_a_American_black_bear.png,3.0197,4.8920
tome,296,a photo of a ice bear,0,0.5,0.0,generated/tome/class_0296_seed0_a_photo_of_a_ice_bear.png,3.0200,4.8920
tome,296,a photo of a ice bear,1,0.5,0.0,generated/tome/class_0296_seed1_a_photo_of_a_ice_bear.png,3.0179,4.8920
tome,297,a photo of a sloth bear,0,0.5,0.0,generated/tome/class_0297_seed0_a_photo_of_a_sloth_bear.png,3.0219,4.8920
tome,297,a photo of a sloth bear,1,0.5,0.0,generated/tome/class_0297_seed1_a_photo_of_a_sloth_bear.png,3.0193,4.8920
tome,298,a photo of a mongoose,0,0.5,0.0,generated/tome/class_0298_seed0_a_photo_of_a_mongoose.png,3.0136,4.8920
tome,298,a photo of a mongoose,1,0.5,0.0,generated/tome/class_0298_seed1_a_photo_of_a_mongoose.png,3.0204,4.8920
tome,299,a photo of a meerkat,0,0.5,0.0,generated/tome/class_0299_seed0_a_photo_of_a_meerkat.png,3.0152,4.8920
tome,299,a photo of a meerkat,1,0.5,0.0,generated/tome/class_0299_seed1_a_photo_of_a_meerkat.png,3.0150,4.8920
tome,300,a photo of a tiger beetle,0,0.5,0.0,generated/tome/class_0300_seed0_a_photo_of_a_tiger_beetle.png,3.0193,4.8920
tome,300,a photo of a tiger beetle,1,0.5,0.0,generated/tome/class_0300_seed1_a_photo_of_a_tiger_beetle.png,3.0213,4.8920
tome,301,a photo of a ladybug,0,0.5,0.0,generated/tome/class_0301_seed0_a_photo_of_a_ladybug.png,3.0173,4.8920
tome,301,a photo of a ladybug,1,0.5,0.0,generated/tome/class_0301_seed1_a_photo_of_a_ladybug.png,3.0178,4.8920
tome,302,a photo of a ground beetle,0,0.5,0.0,generated/tome/class_0302_seed0_a_photo_of_a_ground_beetle.png,3.0208,4.8920
tome,302,a photo of a ground beetle,1,0.5,0.0,generated/tome/class_0302_seed1_a_photo_of_a_ground_beetle.png,3.0147,4.8920
tome,303,a photo of a long-horned beetle,0,0.5,0.0,generated/tome/class_0303_seed0_a_photo_of_a_long-horned_beetle.png,3.0238,4.8920
tome,303,a photo of a long-horned beetle,1,0.5,0.0,generated/tome/class_0303_seed1_a_photo_of_a_long-horned_beetle.png,3.0226,4.8920
tome,304,a photo of a leaf beetle,0,0.5,0.0,generated/tome/class_0304_seed0_a_photo_of_a_leaf_beetle.png,3.0206,4.8920
tome,304,a photo of a leaf beetle,1,0.5,0.0,generated/tome/class_0304_seed1_a_photo_of_a_leaf_beetle.png,3.0190,4.8920
tome,305,a photo of a dung beetle,0,0.5,0.0,generated/tome/class_0305_seed0_a_photo_of_a_dung_beetle.png,3.0152,4.8920
tome,305,a photo of a dung beetle,1,0.5,0.0,generated/tome/class_0305_seed1_a_photo_of_a_dung_beetle.png,3.0214,4.8920
tome,306,a photo of a rhinoceros beetle,0,0.5,0.0,generated/tome/class_0306_seed0_a_photo_of_a_rhinoceros_beetle.png,3.0189,4.8920
tome,306,a photo of a rhinoceros beetle,1,0.5,0.0,generated/tome/class_0306_seed1_a_photo_of_a_rhinoceros_beetle.png,3.0152,4.8920
tome,307,a photo of a weevil,0,0.5,0.0,generated/tome/class_0307_seed0_a_photo_of_a_weevil.png,3.0209,4.8920
tome,307,a photo of a weevil,1,0.5,0.0,generated/tome/class_0307_seed1_a_photo_of_a_weevil.png,3.0221,4.8920
tome,308,a photo of a fly,0,0.5,0.0,generated/tome/class_0308_seed0_a_photo_of_a_fly.png,3.0146,4.8920
tome,308,a photo of a fly,1,0.5,0.0,generated/tome/class_0308_seed1_a_photo_of_a_fly.png,3.0191,4.8920
tome,309,a photo of a bee,0,0.5,0.0,generated/tome/class_0309_seed0_a_photo_of_a_bee.png,3.0215,4.8920
tome,309,a photo of a bee,1,0.5,0.0,generated/tome/class_0309_seed1_a_photo_of_a_bee.png,3.0172,4.8920
tome,310,a photo of a ant,0,0.5,0.0,generated/tome/class_0310_seed0_a_photo_of_a_ant.png,3.0199,4.8920
tome,310,a photo of a ant,1,0.5,0.0,generated/tome/class_0310_seed1_a_photo_of_a_ant.png,3.0185,4.8920
tome,311,a photo of a grasshopper,0,0.5,0.0,generated/tome/class_0311_seed0_a_photo_of_a_grasshopper.png,3.0185,4.8920
tome,311,a photo of a grasshopper,1,0.5,0.0,generated/tome/class_0311_seed1_a_photo_of_a_grasshopper.png,3.0173,4.8920
tome,312,a photo of a cricket,0,0.5,0.0,generated/tome/class_0312_seed0_a_photo_of_a_cricket.png,3.0160,4.8920
tome,312,a photo of a cricket,1,0.5,0.0,generated/tome/class_0312_seed1_a_photo_of_a_cricket.png,3.0141,4.8920
tome,313,a photo of a walking stick,0,0.5,0.0,generated/tome/class_0313_seed0_a_photo_of_a_walking_stick.png,3.0291,4.8920
tome,313,a photo of a walking stick,1,0.5,0.0,generated/tome/class_0313_seed1_a_photo_of_a_walking_stick.png,3.0126,4.8920
tome,314,a photo of a cockroach,0,0.5,0.0,generated/tome/class_0314_seed0_a_photo_of_a_cockroach.png,3.0192,4.8920
tome,314,a photo of a cockroach,1,0.5,0.0,generated/tome/class_0314_seed1_a_photo_of_a_cockroach.png,3.0144,4.8920
tome,315,a photo of a mantis,0,0.5,0.0,generated/tome/class_0315_seed0_a_photo_of_a_mantis.png,3.0206,4.8920
tome,315,a photo of a mantis,1,0.5,0.0,generated/tome/class_0315_seed1_a_photo_of_a_mantis.png,3.0148,4.8920
tome,316,a photo of a cicada,0,0.5,0.0,generated/tome/class_0316_seed0_a_photo_of_a_cicada.png,3.0169,4.8920
tome,316,a photo of a cicada,1,0.5,0.0,generated/tome/class_0316_seed1_a_photo_of_a_cicada.png,3.0196,4.8920
tome,317,a photo of a leafhopper,0,0.5,0.0,generated/tome/class_0317_seed0_a_photo_of_a_leafhopper.png,3.0136,4.8920
tome,317,a photo of a leafhopper,1,0.5,0.0,generated/tome/class_0317_seed1_a_photo_of_a_leafhopper.png,3.0233,4.8920
tome,318,a photo of a lacewing,0,0.5,0.0,generated/tome/class_0318_seed0_a_photo_of_a_lacewing.png,3.0144,4.8920
tome,318,a photo of a lacewing,1,0.5,0.0,generated/tome/class_0318_seed1_a_photo_of_a_lacewing.png,3.0198,4.8920
tome,319,a photo of a dragonfly,0,0.5,0.0,generated/tome/class_0319_seed0_a_photo_of_a_dragonfly.png,3.0169,4.8920
tome,319,a photo of a dragonfly,1,0.5,0.0,generated/tome/class_0319_seed1_a_photo_of_a_dragonfly.png,3.0201,4.8920
tome,320,a photo of a damselfly,0,0.5,0.0,generated/tome/class_0320_seed0_a_photo_of_a_damselfly.png,3.0165,4.8920
tome,320,a photo of a damselfly,1,0.5,0.0,generated/tome/class_0320_seed1_a_photo_of_a_damselfly.png,3.0232,4.8920
tome,321,a photo of a admiral,0,0.5,0.0,generated/tome/class_0321_seed0_a_photo_of_a_admiral.png,3.0221,4.8920
tome,321,a photo of a admiral,1,0.5,0.0,generated/tome/class_0321_seed1_a_photo_of_a_admiral.png,3.0156,4.8920
tome,322,a photo of a ringlet,0,0.5,0.0,generated/tome/class_0322_seed0_a_photo_of_a_ringlet.png,3.0194,4.8920
tome,322,a photo of a ringlet,1,0.5,0.0,generated/tome/class_0322_seed1_a_photo_of_a_ringlet.png,3.0198,4.8920
tome,323,a photo of a monarch,0,0.5,0.0,generated/tome/class_0323_seed0_a_photo_of_a_monarch.png,3.0174,4.8920
tome,323,a photo of a monarch,1,0.5,0.0,generated/tome/class_0323_seed1_a_photo_of_a_monarch.png,3.0186,4.8920
tome,324,a photo of a cabbage butterfly,0,0.5,0.0,generated/tome/class_0324_seed0_a_photo_of_a_cabbage_butterfly.png,3.0210,4.8920
tome,324,a photo of a cabbage butterfly,1,0.5,0.0,generated/tome/class_0324_seed1_a_photo_of_a_cabbage_butterfly.png,3.0181,4.8920
tome,325,a photo of a sulphur butterfly,0,0.5,0.0,generated/tome/class_0325_seed0_a_photo_of_a_sulphur_butterfly.png,3.0184,4.8920
tome,325,a photo of a sulphur butterfly,1,0.5,0.0,generated/tome/class_0325_seed1_a_photo_of_a_sulphur_butterfly.png,3.0200,4.8920
tome,326,a photo of a lycaenid,0,0.5,0.0,generated/tome/class_0326_seed0_a_photo_of_a_lycaenid.png,3.0265,4.8920
tome,326,a photo of a lycaenid,1,0.5,0.0,generated/tome/class_0326_seed1_a_photo_of_a_lycaenid.png,3.0194,4.8920
tome,327,a photo of a starfish,0,0.5,0.0,generated/tome/class_0327_seed0_a_photo_of_a_starfish.png,3.0228,4.8920
tome,327,a photo of a starfish,1,0.5,0.0,generated/tome/class_0327_seed1_a_photo_of_a_starfish.png,3.0151,4.8920
tome,328,a photo of a sea urchin,0,0.5,0.0,generated/tome/class_0328_seed0_a_photo_of_a_sea_urchin.png,3.0187,4.8920
tome,328,a photo of a sea urchin,1,0.5,0.0,generated/tome/class_0328_seed1_a_photo_of_a_sea_urchin.png,3.0179,4.8920
tome,329,a photo of a sea cucumber,0,0.5,0.0,generated/tome/class_0329_seed0_a_photo_of_a_sea_cucumber.png,3.0170,4.8920
tome,329,a photo of a sea cucumber,1,0.5,0.0,generated/tome/class_0329_seed1_a_photo_of_a_sea_cucumber.png,3.0203,4.8920
tome,330,a photo of a wood rabbit,0,0.5,0.0,generated/tome/class_0330_seed0_a_photo_of_a_wood_rabbit.png,3.0202,4.8920
tome,330,a photo of a wood rabbit,1,0.5,0.0,generated/tome/class_0330_seed1_a_photo_of_a_wood_rabbit.png,3.0159,4.8920
tome,331,a photo of a hare,0,0.5,0.0,generated/tome/class_0331_seed0_a_photo_of_a_hare.png,3.0203,4.8920
tome,331,a photo of a hare,1,0.5,0.0,generated/tome/class_0331_seed1_a_photo_of_a_hare.png,3.0325,4.8920
tome,332,a photo of a Angora,0,0.5,0.0,generated/tome/class_0332_seed0_a_photo_of_a_Angora.png,3.0196,4.8920
tome,332,a photo of a Angora,1,0.5,0.0,generated/tome/class_0332_seed1_a_photo_of_a_Angora.png,3.0188,4.8920
tome,333,a photo of a hamster,0,0.5,0.0,generated/tome/class_0333_seed0_a_photo_of_a_hamster.png,3.0185,4.8920
tome,333,a photo of a hamster,1,0.5,0.0,generated/tome/class_0333_seed1_a_photo_of_a_hamster.png,3.0181,4.8920
tome,334,a photo of a porcupine,0,0.5,0.0,generated/tome/class_0334_seed0_a_photo_of_a_porcupine.png,3.0201,4.8920
tome,334,a photo of a porcupine,1,0.5,0.0,generated/tome/class_0334_seed1_a_photo_of_a_porcupine.png,3.0157,4.8920
tome,335,a photo of a fox squirrel,0,0.5,0.0,generated/tome/class_0335_seed0_a_photo_of_a_fox_squirrel.png,3.0137,4.8920
tome,335,a photo of a fox squirrel,1,0.5,0.0,generated/tome/class_0335_seed1_a_photo_of_a_fox_squirrel.png,3.0299,4.8920
tome,336,a photo of a marmot,0,0.5,0.0,generated/tome/class_0336_seed0_a_photo_of_a_marmot.png,3.0432,4.8920
tome,336,a photo of a marmot,1,0.5,0.0,generated/tome/class_0336_seed1_a_photo_of_a_marmot.png,3.0217,4.8920
tome,337,a photo of a beaver,0,0.5,0.0,generated/tome/class_0337_seed0_a_photo_of_a_beaver.png,3.0184,4.8920
tome,337,a photo of a beaver,1,0.5,0.0,generated/tome/class_0337_seed1_a_photo_of_a_beaver.png,3.0379,4.8920
tome,338,a photo of a guinea pig,0,0.5,0.0,generated/tome/class_0338_seed0_a_photo_of_a_guinea_pig.png,3.0211,4.8920
tome,338,a photo of a guinea pig,1,0.5,0.0,generated/tome/class_0338_seed1_a_photo_of_a_guinea_pig.png,3.0170,4.8920
tome,339,a photo of a sorrel,0,0.5,0.0,generated/tome/class_0339_seed0_a_photo_of_a_sorrel.png,3.0167,4.8920
tome,339,a photo of a sorrel,1,0.5,0.0,generated/tome/class_0339_seed1_a_photo_of_a_sorrel.png,3.0202,4.8920
tome,340,a photo of a zebra,0,0.5,0.0,generated/tome/class_0340_seed0_a_photo_of_a_zebra.png,3.0233,4.8920
tome,340,a photo of a zebra,1,0.5,0.0,generated/tome/class_0340_seed1_a_photo_of_a_zebra.png,3.0166,4.8920
tome,341,a photo of a hog,0,0.5,0.0,generated/tome/class_0341_seed0_a_photo_of_a_hog.png,3.0227,4.8920
tome,341,a photo of a hog,1,0.5,0.0,generated/tome/class_0341_seed1_a_photo_of_a_hog.png,3.0190,4.8920
tome,342,a photo of a wild boar,0,0.5,0.0,generated/tome/class_0342_seed0_a_photo_of_a_wild_boar.png,3.0160,4.8920
tome,342,a photo of a wild boar,1,0.5,0.0,generated/tome/class_0342_seed1_a_photo_of_a_wild_boar.png,3.0183,4.8920
tome,343,a photo of a warthog,0,0.5,0.0,generated/tome/class_0343_seed0_a_photo_of_a_warthog.png,3.0191,4.8920
tome,343,a photo of a warthog,1,0.5,0.0,generated/tome/class_0343_seed1_a_photo_of_a_warthog.png,3.0190,4.8920
tome,344,a photo of a hippopotamus,0,0.5,0.0,generated/tome/class_0344_seed0_a_photo_of_a_hippopotamus.png,3.0196,4.8920
tome,344,a photo of a hippopotamus,1,0.5,0.0,generated/tome/class_0344_seed1_a_photo_of_a_hippopotamus.png,3.0162,4.8920
tome,345,a photo of a ox,0,0.5,0.0,generated/tome/class_0345_seed0_a_photo_of_a_ox.png,3.0138,4.8920
tome,345,a photo of a ox,1,0.5,0.0,generated/tome/class_0345_seed1_a_photo_of_a_ox.png,3.0160,4.8920
tome,346,a photo of a water buffalo,0,0.5,0.0,generated/tome/class_0346_seed0_a_photo_of_a_water_buffalo.png,3.0191,4.8920
tome,346,a photo of a water buffalo,1,0.5,0.0,generated/tome/class_0346_seed1_a_photo_of_a_water_buffalo.png,3.0187,4.8920
tome,347,a photo of a bison,0,0.5,0.0,generated/tome/class_0347_seed0_a_photo_of_a_bison.png,3.0232,4.8920
tome,347,a photo of a bison,1,0.5,0.0,generated/tome/class_0347_seed1_a_photo_of_a_bison.png,3.0194,4.8920
tome,348,a photo of a ram,0,0.5,0.0,generated/tome/class_0348_seed0_a_photo_of_a_ram.png,3.0182,4.8920
tome,348,a photo of a ram,1,0.5,0.0,generated/tome/class_0348_seed1_a_photo_of_a_ram.png,3.0170,4.8920
tome,349,a photo of a bighorn,0,0.5,0.0,generated/tome/class_0349_seed0_a_photo_of_a_bighorn.png,3.0177,4.8920
tome,349,a photo of a bighorn,1,0.5,0.0,generated/tome/class_0349_seed1_a_photo_of_a_bighorn.png,3.0100,4.8920
tome,350,a photo of a ibex,0,0.5,0.0,generated/tome/class_0350_seed0_a_photo_of_a_ibex.png,3.0195,4.8920
tome,350,a photo of a ibex,1,0.5,0.0,generated/tome/class_0350_seed1_a_photo_of_a_ibex.png,3.0164,4.8920
tome,351,a photo of a hartebeest,0,0.5,0.0,generated/tome/class_0351_seed0_a_photo_of_a_hartebeest.png,3.0115,4.8920
tome,351,a photo of a hartebeest,1,0.5,0.0,generated/tome/class_0351_seed1_a_photo_of_a_hartebeest.png,3.0146,4.8920
tome,352,a photo of a impala,0,0.5,0.0,generated/tome/class_0352_seed0_a_photo_of_a_impala.png,3.0154,4.8920
tome,352,a photo of a impala,1,0.5,0.0,generated/tome/class_0352_seed1_a_photo_of_a_impala.png,3.0183,4.8920
tome,353,a photo of a gazelle,0,0.5,0.0,generated/tome/class_0353_seed0_a_photo_of_a_gazelle.png,3.0197,4.8920
tome,353,a photo of a gazelle,1,0.5,0.0,generated/tome/class_0353_seed1_a_photo_of_a_gazelle.png,3.0222,4.8920
tome,354,a photo of a Arabian camel,0,0.5,0.0,generated/tome/class_0354_seed0_a_photo_of_a_Arabian_camel.png,3.0148,4.8920
tome,354,a photo of a Arabian camel,1,0.5,0.0,generated/tome/class_0354_seed1_a_photo_of_a_Arabian_camel.png,3.0185,4.8920
tome,355,a photo of a llama,0,0.5,0.0,generated/tome/class_0355_seed0_a_photo_of_a_llama.png,3.0184,4.8920
tome,355,a photo of a llama,1,0.5,0.0,generated/tome/class_0355_seed1_a_photo_of_a_llama.png,3.0175,4.8920
tome,356,a photo of a weasel,0,0.5,0.0,generated/tome/class_0356_seed0_a_photo_of_a_weasel.png,3.0209,4.8920
tome,356,a photo of a weasel,1,0.5,0.0,generated/tome/class_0356_seed1_a_photo_of_a_weasel.png,3.0204,4.8920
tome,357,a photo of a mink,0,0.5,0.0,generated/tome/class_0357_seed0_a_photo_of_a_mink.png,3.0158,4.8920
tome,357,a photo of a mink,1,0.5,0.0,generated/tome/class_0357_seed1_a_photo_of_a_mink.png,3.0182,4.8920
tome,358,a photo of a polecat,0,0.5,0.0,generated/tome/class_0358_seed0_a_photo_of_a_polecat.png,3.0151,4.8920
tome,358,a photo of a polecat,1,0.5,0.0,generated/tome/class_0358_seed1_a_photo_of_a_polecat.png,3.0168,4.8920
tome,359,a photo of a black-footed ferret,0,0.5,0.0,generated/tome/class_0359_seed0_a_photo_of_a_black-footed_ferret.png,3.0212,4.8920
tome,359,a photo of a black-footed ferret,1,0.5,0.0,generated/tome/class_0359_seed1_a_photo_of_a_black-footed_ferret.png,3.0196,4.8920
tome,360,a photo of a otter,0,0.5,0.0,generated/tome/class_0360_seed0_a_photo_of_a_otter.png,3.0155,4.8920
tome,360,a photo of a otter,1,0.5,0.0,generated/tome/class_0360_seed1_a_photo_of_a_otter.png,3.0182,4.8920
tome,361,a photo of a skunk,0,0.5,0.0,generated/tome/class_0361_seed0_a_photo_of_a_skunk.png,3.0196,4.8920
tome,361,a photo of a skunk,1,0.5,0.0,generated/tome/class_0361_seed1_a_photo_of_a_skunk.png,3.0114,4.8920
tome,362,a photo of a badger,0,0.5,0.0,generated/tome/class_0362_seed0_a_photo_of_a_badger.png,3.0165,4.8920
tome,362,a photo of a badger,1,0.5,0.0,generated/tome/class_0362_seed1_a_photo_of_a_badger.png,3.0181,4.8920
tome,363,a photo of a armadillo,0,0.5,0.0,generated/tome/class_0363_seed0_a_photo_of_a_armadillo.png,3.0125,4.8920
tome,363,a photo of a armadillo,1,0.5,0.0,generated/tome/class_0363_seed1_a_photo_of_a_armadillo.png,3.0193,4.8920
tome,364,a photo of a three-toed sloth,0,0.5,0.0,generated/tome/class_0364_seed0_a_photo_of_a_three-toed_sloth.png,3.0159,4.8920
tome,364,a photo of a three-toed sloth,1,0.5,0.0,generated/tome/class_0364_seed1_a_photo_of_a_three-toed_sloth.png,3.0184,4.8920
tome,365,a photo of a orangutan,0,0.5,0.0,generated/tome/class_0365_seed0_a_photo_of_a_orangutan.png,3.0182,4.8920
tome,365,a photo of a orangutan,1,0.5,0.0,generated/tome/class_0365_seed1_a_photo_of_a_orangutan.png,3.0176,4.8920
tome,366,a photo of a gorilla,0,0.5,0.0,generated/tome/class_0366_seed0_a_photo_of_a_gorilla.png,3.0142,4.8920
tome,366,a photo of a gorilla,1,0.5,0.0,generated/tome/class_0366_seed1_a_photo_of_a_gorilla.png,3.0457,4.8920
tome,367,a photo of a chimpanzee,0,0.5,0.0,generated/tome/class_0367_seed0_a_photo_of_a_chimpanzee.png,3.0207,4.8920
